id,pred,gt,meta
1GlSp4Uh32Y,(A) Chopsticks with green and yellow handles.,(A) Chopsticks with green and yellow handles.,"{'video_id': '1GlSp4Uh32Y', 'clip_id': '1GlSp4Uh32Y-Scene-021', 'question': 'What tool does the person use to eat?', 'hint': 'In the video, a person is engaged in a eating activity, seated at a table, using a tool to consume food from a dark-colored vessel.', 'multiple_choice': ['Chopsticks with green and yellow handles.', 'A spoon with a yellow and brown handle.', 'Chopsticks with yellow and brown handles.', 'A spoon with a white and green handle.'], 'multiple_choice_answer': 'Chopsticks with green and yellow handles.', 'open_answer': 'The answer is chopsticks.', 'scene_description': ""The video shows a person seated at a dining table wearing a gray T-shirt, engaging in the act of eating from a bowl with chopsticks. The environment appears to be a home kitchen with a green curtain in the background and various kitchen items and decor visible on the counter. The individual seems to be struggling with the temperature or spiciness of the food, as suggested by the voice-over mentioning warmth and difficulty. The light is bright and even, suggesting daytime. The bowl is dark-colored, contrasting with the lighter color of the rice within. The chopsticks are wooden. As the frames progress, the person continues to eat despite the apparent challenge posed by the food's temperature or spice level.""}"
1GlSp4Uh32Y,(D) The doorway with a white shoe cabinet.,(C) The kithen with a white table.,"{'video_id': '1GlSp4Uh32Y', 'clip_id': '1GlSp4Uh32Y-Scene-029', 'question': ""What is the room behind the person's dining area like?"", 'hint': 'In the video, there is a person who appears to be experiencing discomfort while consuming a dish that is presumably hot and spicy. He is using a particular utensil to eat from a large black bowl.', 'multiple_choice': ['The bedroom with a black and white closet.', 'The living room with a white cupboard.', 'The kithen with a white table.', 'The doorway with a white shoe cabinet.'], 'multiple_choice_answer': 'The kithen with a white table.', 'open_answer': 'The answer is kitchen.', 'scene_description': ""A person is seated at a dining table with a light green curtain in the background. In front of them is a large black bowl, presumably containing a hot, spicy dish based on the voice-over, and a smaller brown bowl to the side. They use wooden chopsticks to eat from the black bowl. Their body language and audible reactions suggest that the dish might be uncomfortably spicy, as they seem to struggle with the heat intensity. The room is well-lit, probably by natural light, judging from the shadow's direction. The colors in the scene are quite muted, with the most vibrant color being the green curtain behind. There are no other distinctive objects or colors, making the black bowl the central focus of the shot.""}"
4ErlhM1NaZA,"(A) A young man with a beard. In the video, we can see a person standing at a desk with their hands on a table. They have short hair on their face, which can be inferred as a beard. They are wearing glasses and have a watch on their wrist.",(C) An old man dressed in a dark suit.,"{'video_id': '4ErlhM1NaZA', 'clip_id': '4ErlhM1NaZA-Scene-003', 'question': 'What does the person look like?', 'hint': ""In the video, there is a scene featuring a specific individual's workspace characterized by the presence of sophisticated machinery, and the person is shown deeply engaged in the task. Around the person, we see various timekeeping device and gears."", 'multiple_choice': ['A young man with a beard.', 'A yound woman wearing a pair of glasses.', 'An old man dressed in a dark suit.', 'An old woman with white hair.'], 'multiple_choice_answer': 'An old man dressed in a dark suit.', 'open_answer': 'The answer is an old man dressed in a dark suit.', 'scene_description': ""The video opens with a close-up of an ornate silver punch bowl being placed on a table filled with glassware and beverages. We see a luxurious room with classical architecture, elegant furnishings, and sunlight filtering through the windows. A toddler wearing a formal dress wanders under the table, indicating a family environment. The atmosphere shifts to an outdoor scene shrouded in fog; silhouettes of people and bare trees create an eerie mood. We then see an indoor shot featuring sophisticated machinery and a person working intently at a desk, surrounded by gears and timepieces, suggestive of a study or an inventor's workspace. The lighting throughout these scenes ranges from warm and inviting to cold and mysterious, enhancing the contrasting atmospheres. The colors are rich but muted, with an emphasis on browns, golds, and greys, contributing to the period setting.""}"
4ErlhM1NaZA,"(A) He is checking something written on his palm. The character is wearing a suit with a pinstripe pattern that is unique and suggests a formal yet eccentric fashion sense. He is holding his palm and making a theatrical hand gesture with his fingers. He is not casting a spell to summon something or blowing a whistle with his fingers. Therefore, option (A) is the best option that accurately addresses the question.",(A) He is checking something written on his palm.,"{'video_id': '4ErlhM1NaZA', 'clip_id': '4ErlhM1NaZA-Scene-007', 'question': 'Why this character do this hand gesture in the context of the scene?', 'hint': 'In the video, there is a character who has a distinctive appearance, wearing a suit with a pinstripe pattern that is unique and suggests a formal yet eccentric fashion sense. His hair is untamed and gray. This character is seen making a theatrical hand gesture, with his fingers interlaced.', 'multiple_choice': ['He is checking something written on his palm.', 'He is casting a spell to summon something.', ""He is blowing a whistle with his fingers to get someone's attention."", 'He is covering his face in shock because of something he saw.'], 'multiple_choice_answer': 'He is checking something written on his palm.', 'open_answer': 'The answer is that he is checking the note written on his palm.', 'scene_description': ""The scene is set in a dimly lit room that gives off an old and somewhat gothic atmosphere. It seems to be a grand, spacious room with high ceilings, featuring arched windows and vintage decor. The character in the focus is wearing a pinstripe suit with a unique pattern, suggesting a formal but quirky style. His hair is wild and gray. He's performing an elaborate hand gesture, covering his chest with one hand while the other hand is raised in motion as if he is gesturing something significant or making a point. Around him are other individuals who appear to be children, partially visible from the side. The environment suggests this may be a scene of revelation or instruction given the character's dramatic body language.""}"
4ErlhM1NaZA,(A) Green.,(B) Blue.,"{'video_id': '4ErlhM1NaZA', 'clip_id': '4ErlhM1NaZA-Scene-010', 'question': ""What is the color of the boy's sweater?"", 'hint': 'In the video, a scene takes place in an old, dusty attic filled with various objects. A young girl with braided hair is dressed in dark, somewhat Victorian-era clothing. She stands beside a younger boy wearing a simple sweater and trousers.', 'multiple_choice': ['Green.', 'Blue.', 'Red.', 'Yellow.'], 'multiple_choice_answer': 'Blue.', 'open_answer': 'The answer is blue.', 'scene_description': 'The scene takes place in an old, dusty attic filled with various objects, suggesting a setting that has been undisturbed for some time. The lighting is natural, seemingly coming from a window, casting shadows and providing a gloomy atmosphere. There is a sense of clutter and neglect, with items like furniture, mirrors, and fabrics haphazardly placed around the space. The color palette consists of muted browns and grays, contributing to the feeling of abandonment. A young girl with braided hair is dressed in dark, somewhat Victorian-era clothing. She stands beside a younger boy wearing a simple sweater and trousers. They appear to be in a tense or uncertain situation, possibly investigating or discovering something important. The overall tone is eerie and suggests an element of mystery or danger.'}"
4ErlhM1NaZA,"(A) Anxiety. The person in the video is using a gesture, which indicates that they may be feeling anxious or concerned about the situation they are in. This can be inferred from the fact that they are holding their hands against the window, which could be seen as a sign of apprehension or unease. The hand gesture and the context of the video both suggest that the person is feeling anxious.",(D) Fear.,"{'video_id': '4ErlhM1NaZA', 'clip_id': '4ErlhM1NaZA-Scene-014', 'question': 'What emotion does this gesture convey?', 'hint': 'In the video, a scene opens with a close-up shot focused on an individual inside an older model car on the railway, with his hands pressed against the window in a gesture.', 'multiple_choice': ['Anxiety.', 'Surprise.', 'Anger.', 'Fear.'], 'multiple_choice_answer': 'Fear.', 'open_answer': 'The answer is urgency or distress or fear.', 'scene_description': ""The clip opens with a close-up shot focused on an individual inside an older model car, with their hands pressed against the window in a gesture that could suggest urgency or distress. The environment appears to be outdoors during daytime. The car's interior is not clearly detailed, but the window frames and design suggest a vehicle from the late 20th century. Following this, the video transitions to the title sequence, which features ornate, swirling designs in a deep red and dark background. The designs are intricate and somewhat reminiscent of Victorian filigree, with eyes interspersed within the pattern, creating a sense of being watched. The text 'Lemony Snicket's A Series of Unfortunate Events' is prominently displayed in a serif font that complements the ornamental design. The color scheme of reds, blacks, and golds conveys a foreboding yet elegant atmosphere.""}"
0FsqMbUOkCY,"(C) A knife. From the video, it appears that the person uses a knife to open the box containing the cylindrical device, which is used for networking. The vents and shape of the object to the left of the cylindrical device suggest it is a networking device, such as a router or a switch.",(C) A knife.,"{'video_id': '0FsqMbUOkCY', 'clip_id': '0FsqMbUOkCY-Scene-012', 'question': 'What tool does the person use to unbox the cylindrical device from the packaging?', 'hint': 'In the video, there is an object to the left of the cylindrical electronic device being unboxed. This object has a shape and vents that suggest it might be related to technology, specifically networking.', 'multiple_choice': ['A pair of scissors.', ""We don't know because it is not mentioned."", 'A knife.', 'By hand.'], 'multiple_choice_answer': 'A knife.', 'open_answer': 'The answer is a knife.', 'scene_description': ""The scene is set against a simple, dark backdrop that accentuates the product, a cylindrical electronic device, possibly a router. A person is unboxing the device, which is initially covered with a translucent plastic film, reflecting light and emphasizing its sleek, shiny black surface. The person's hands remove the protective film from the top of the device in a deliberate, showcasing manner. They are wearing a casual white sweatshirt and a metal watch, suggesting a relaxed yet professional setting. The tabletop hosts a few objects including another electronic device to the left, which appears to be a router or modem due to its shape and vents, and a partially visible laptop to the right. The lighting is soft yet bright enough to highlight the details of the product's design.""}"
0FsqMbUOkCY,(A) 'Alien-Fi'.,(D) 'AmpliFi'.,"{'video_id': '0FsqMbUOkCY', 'clip_id': '0FsqMbUOkCY-Scene-030', 'question': 'What is the label on this device?', 'hint': ""In the video, there's a device with a circular shape, a screen that reacts to touch, and seems to be responsible for managing network connections within this tech-focused environment. It's positioned centrally on the workspace and has an illuminated base that is green in color, indicating it's powered on. This device also appears to have a label on it."", 'multiple_choice': [""'Alien-Fi'."", ""'Alien'."", ""'AmpWiFi'."", ""'AmpliFi'.""], 'multiple_choice_answer': ""'AmpliFi'."", 'open_answer': ""The answer is 'AmpliFi'."", 'scene_description': ""The video shows a well-lit, clean workspace with a modern tech vibe. In the center, there's a cylindrical device with a touchscreen interface, likely a high-end router, labeled 'AmpliFi Alien.' The router is connected to a power source, as indicated by the green illuminated base. To the right, there's a smartphone on a white page, possibly in a setup or configuration process. A laptop is visible in the upper left corner, indicating a tech-focused setting. The desk surface is wooden, and the environment appears organized and professional. The person interacting with the router is likely demonstrating its features, emphasizing the haptic feedback ('vibration') experienced when swiping on the device's touchscreen. The overall color scheme is neutral with black tech devices, creating a sleek and contemporary aesthetic.""}"
0FsqMbUOkCY,(A) A tablet.,(B) A laptop.,"{'video_id': '0FsqMbUOkCY', 'clip_id': '0FsqMbUOkCY-Scene-045', 'question': 'What is this partially open device with a metallic finish that is receiving a cable connection?', 'hint': ""In the video, there's a device featured with a metallic finish, partially open on the dark-colored table surface. The person use a cable to connect the cylindrical network device to this device."", 'multiple_choice': ['A tablet.', 'A laptop.', 'A router.', 'A smartphone.'], 'multiple_choice_answer': 'A laptop.', 'open_answer': 'The answer is a laptop.', 'scene_description': ""The clip features close-up views of a person's hands as they interact with electronic devices. The individual is connecting various cables to a cylindrical, sleek, black electronic device with green glowing lights at the base, which appears to be a high-end Wi-Fi router, presumably the AmpliFi Alien. In the background, there's a dark-colored table surface on which a smartphone and a laptop are placed. The person connects one end of a cable to the router and the other end to the laptop, which has a metallic finish and is partially open. The room's lighting is soft and focused on the table surface, highlighting the devices and the person's actions. The colors are muted with black, silver, and subtle green tones from the device's lights being prominent.""}"
0FsqMbUOkCY,"(A) This phone is on and others are off. The video shows a man in a white shirt using a smartphone with a green on-screen display, while two other smartphones on the desk are turned off. The remaining two smartphones are also turned off. Therefore, the correct option is (A).",(D) This phone is square and others are rectangular.,"{'video_id': '0FsqMbUOkCY', 'clip_id': '0FsqMbUOkCY-Scene-063', 'question': 'Why there is a phone that is different from the other three based on the appearance?', 'hint': ""The video features a well-organized desk with various electronic devices, including a laptop on the left, a cylindrical router with glowing green lights in the center, and four smartphones with one showing the speed test 'Go' button and the others displaying an application with video content."", 'multiple_choice': ['This phone is on and others are off.', 'This phone is black and others are blue.', 'This phone is small and others are large.', 'This phone is square and others are rectangular.'], 'multiple_choice_answer': 'This phone is square and others are rectangular.', 'open_answer': 'The answer is that this phone is square and others are rectangular.', 'scene_description': ""The video features a well-organized desk with various electronic devices, including a laptop on the left, a cylindrical router with glowing green lights in the center, and four smartphones. Two phones are placed vertically, displaying a 'Ready' screen for what appears to be a speed test app, and two horizontally with one showing the speed test 'Go' button and the other displaying an application with video content. The desk appears to be wooden, and the environment is lit with soft, ambient lighting. The gadgets are predominantly black, providing a contrast to the light brown desk and white laptop. The cylindrical router stands out with its sleek design and neon green lighting at its base.""}"
0y2wf5JPm3A,(C) Amazon.,(D) Google.,"{'video_id': '0y2wf5JPm3A', 'clip_id': '0y2wf5JPm3A-Scene-008', 'question': 'What is the brand of this device?', 'hint': 'In the video, there is an object with a fabric covering that is typical of a certain brand, featuring a light gray color that complements the white body of the device. There is also a visible logo on the lower half of this fabric-covered base. A power cord is seen extending from the back of this base.', 'multiple_choice': ['Apple.', 'Samsung.', 'Amazon.', 'Google.'], 'multiple_choice_answer': 'Google.', 'open_answer': 'The answer is Google.', 'scene_description': ""The video features a Google Nest Hub 2 placed on a desk. It is angled slightly to the left with its screen facing the viewer. The device has a fabric covering, typical of Google products, which is a light gray color, matching the white of the device's body. There's a visible 'G' logo on the lower half of the fabric-covered base. A power cord extends from the back of the base to off-screen, implying it's plugged in. To the right, there's a potted plant with green leaves in a woven tan basket, partially cropped by the frame edge. The environment suggests a home or casual office setting, with natural light coming from the left side, likely from a window not in view.""}"
0y2wf5JPm3A,(A) The screen can display 3D content.,(D) People can interact with the screen without touching it.,"{'video_id': '0y2wf5JPm3A', 'clip_id': '0y2wf5JPm3A-Scene-021', 'question': 'A person is interacting with the device, what is the special feature of the screen of this device?', 'hint': 'In the video, there is a close-up view of a white device placed on a wooden table, with a woven basket and greenery in the background. The device displays various screens showing interactive prompts and settings, presumably for setup or feature demonstration.', 'multiple_choice': ['The screen can display 3D content.', 'People can interact with the screen using voice commands.', 'The screen can project holographic images.', 'People can interact with the screen without touching it.'], 'multiple_choice_answer': 'People can interact with the screen without touching it.', 'open_answer': 'The answer is that people can interact with the screen without touching it.', 'scene_description': ""The clip features a close-up view of a white Google Nest Hub placed on a wooden table, with a woven basket and greenery in the background. The device displays various screens showing interactive prompts and settings, presumably for setup or feature demonstration. A person's hand is interacting with the touchscreen, swiping and tapping as the voice-over explains different functionalities. The environment is well-lit with natural light, suggesting daytime. Objects like a smartphone, a red object possibly a case or notebook, and a bottle of water are also visible on the table. The displayed text is in Spanish, guiding the user through different actions like adjusting settings for sleep monitoring or connecting the device. The device's screen colors are primarily white and blue, with clear and legible text.""}"
0y2wf5JPm3A,(B) Toyota.,(B) Toyota.,"{'video_id': '0y2wf5JPm3A', 'clip_id': '0y2wf5JPm3A-Scene-032', 'question': 'What is brand of this car?', 'hint': ""In the video, there is a scene shows a smart display cycles through high-quality images of a car from various angles: the exterior front view, showcasing the car's design and grille; the interior shot, highlighting the steering wheel and dashboard; the rear view, focusing on the taillights and model insignia; and a close-up of the car's wheel, emphasizing the rim design."", 'multiple_choice': ['Ford.', 'Toyota.', 'Chevrolet.', 'Honda.'], 'multiple_choice_answer': 'Toyota.', 'open_answer': 'The answer is Toyota.', 'scene_description': ""The video features a stationary smart display placed on a white surface, likely a desk, with a plant in a woven pot and a partially visible document to its right. The smart display cycles through high-quality images of a car from various angles: the exterior front view, showcasing the car's design and grille; the interior shot, highlighting the steering wheel and dashboard; the rear view, focusing on the taillights and model insignia; and a close-up of the car's wheel, emphasizing the rim design. The environment is bright and well-lit, presumably with natural light. The surrounding decor suggests a cozy, homey setting. The colors are vibrant, with the car’s details sharply contrasted against the clean background of the smart display screen.""}"
